biome_lineage,biome_name,sample_accession,host_scientific_name,run_accession,experiment_type
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326441,,SRR3208211,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326441,,SRR3208979,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326450,,SRR3208212,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326450,,SRR3208981,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326448,,SRR3208213,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326448,,SRR3208982,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326449,,SRR3208214,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326449,,SRR3208983,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326447,,SRR3208215,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326447,,SRR3209720,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326446,,SRR3208216,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326446,,SRR3208984,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326444,,SRR3208217,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326444,,SRR3208985,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326443,,SRR3208218,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326443,,SRR3208986,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326445,,SRR3208219,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326445,,SRR3209003,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326442,,SRR3208220,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326442,,SRR3209004,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326460,,SRR3208221,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326460,,SRR3209007,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326459,,SRR3208222,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326459,,SRR3209008,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326458,,SRR3208223,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326458,,SRR3209009,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326457,,SRR3208224,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326457,,SRR3209010,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326456,,SRR3208225,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326456,,SRR3209011,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326455,,SRR3208226,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326455,,SRR3209722,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326454,,SRR3208227,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326454,,SRR3209012,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326453,,SRR3208228,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326453,,SRR3209013,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326452,,SRR3208229,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326452,,SRR3209014,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326469,,SRR3208230,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326469,,SRR3209015,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326468,,SRR3208231,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326468,,SRR3209016,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326467,,SRR3208232,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326467,,SRR3209018,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326466,,SRR3208233,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326466,,SRR3209019,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326465,,SRR3208234,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326465,,SRR3209020,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326464,,SRR3208235,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326464,,SRR3209021,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326463,,SRR3208236,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326463,,SRR3209022,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326462,,SRR3208237,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326462,,SRR3209724,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326461,,SRR3208238,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326461,,SRR3209023,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326479,,SRR3208239,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326479,,SRR3209024,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326478,,SRR3208240,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326478,,SRR3209025,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326477,,SRR3208241,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326477,,SRR3209026,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326476,,SRR3208242,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326476,,SRR3209027,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326475,,SRR3208243,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326475,,SRR3209029,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326474,,SRR3208244,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326474,,SRR3209030,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326473,,SRR3208245,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326473,,SRR3209031,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326472,,SRR3208246,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326472,,SRR3209032,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326471,,SRR3208247,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326471,,SRR3209033,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326470,,SRR3208248,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326470,,SRR3209725,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326487,,SRR3208249,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326487,,SRR3209034,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326486,,SRR3208250,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326486,,SRR3209035,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326485,,SRR3208252,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326485,,SRR3209036,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326484,,SRR3208253,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326484,,SRR3209037,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326488,,SRR3208254,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326488,,SRR3209038,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326483,,SRR3208255,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326483,,SRR3209040,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326482,,SRR3208256,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326482,,SRR3209041,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326481,,SRR3208257,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326481,,SRR3209042,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326480,,SRR3208258,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326480,,SRR3209043,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326498,,SRR3208259,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326498,,SRR3209044,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326497,,SRR3208260,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326497,,SRR3209726,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326496,,SRR3208261,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326496,,SRR3209045,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326495,,SRR3208262,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326495,,SRR3209046,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326494,,SRR3208263,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326494,,SRR3209047,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326493,,SRR3208264,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326493,,SRR3209048,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326492,,SRR3208265,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326492,,SRR3209049,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326491,,SRR3208266,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326491,,SRR3209051,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326490,,SRR3208267,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326490,,SRR3209052,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326489,,SRR3208268,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326489,,SRR3209053,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326509,,SRR3208269,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326509,,SRR3209054,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326508,,SRR3208270,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326508,,SRR3209055,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326507,,SRR3208271,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326507,,SRR3209727,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326506,,SRR3208272,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326506,,SRR3209056,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326505,,SRR3208273,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326505,,SRR3209058,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326504,,SRR3208274,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326504,,SRR3209059,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326503,,SRR3208275,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326503,,SRR3209060,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326502,,SRR3208276,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326502,,SRR3209061,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326501,,SRR3208277,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326501,,SRR3209063,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326500,,SRR3208278,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326500,,SRR3209064,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326499,,SRR3208279,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326499,,SRR3209065,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326519,,SRR3208280,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326519,,SRR3209066,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326518,,SRR3208281,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326518,,SRR3209067,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326517,,SRR3208282,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326517,,SRR3209728,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326516,,SRR3208283,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326516,,SRR3209068,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326515,,SRR3208284,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326515,,SRR3209069,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326514,,SRR3208285,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326514,,SRR3209070,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326513,,SRR3208286,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326513,,SRR3209071,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326512,,SRR3208287,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326512,,SRR3209072,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326511,,SRR3208289,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326511,,SRR3209075,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326510,,SRR3208290,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326510,,SRR3209076,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326522,,SRR3208292,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326522,,SRR3209077,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326521,,SRR3208293,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326521,,SRR3209078,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326520,,SRR3208294,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326520,,SRR3209079,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1321708,,SRR3208974,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1321708,,SRR3209591,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327032,,SRR3208975,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327032,,SRR3209592,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327031,,SRR3208976,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327031,,SRR3209603,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327042,,SRR3209006,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327042,,SRR3209604,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327051,,SRR3209017,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327051,,SRR3209606,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327052,,SRR3209028,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327052,,SRR3209607,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327053,,SRR3209039,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327053,,SRR3209608,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327055,,SRR3209050,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327055,,SRR3209609,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327056,,SRR3209062,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327056,,SRR3209610,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327057,,SRR3209073,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327057,,SRR3209618,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327060,,SRR3209085,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327060,,SRR3209619,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327061,,SRR3209096,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327061,,SRR3209620,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327064,,SRR3209106,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327063,,SRR3209107,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327063,,SRR3209593,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327062,,SRR3209108,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327062,,SRR3209621,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327066,,SRR3209109,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327068,,SRR3209120,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327068,,SRR3209622,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327073,,SRR3209122,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327074,,SRR3209123,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327072,,SRR3209124,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327071,,SRR3209126,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327070,,SRR3209127,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327069,,SRR3209128,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327082,,SRR3209129,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327081,,SRR3209130,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327080,,SRR3209131,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327079,,SRR3209132,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327079,,SRR3209623,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327077,,SRR3209133,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327076,,SRR3209134,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327075,,SRR3209135,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327087,,SRR3209136,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327086,,SRR3209137,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327085,,SRR3209140,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327084,,SRR3209141,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327083,,SRR3209142,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327094,,SRR3209151,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327093,,SRR3209152,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327093,,SRR3209624,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327092,,SRR3209153,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327090,,SRR3209154,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327089,,SRR3209155,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327088,,SRR3209156,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327107,,SRR3209157,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327106,,SRR3209158,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327105,,SRR3209160,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327104,,SRR3209161,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327103,,SRR3209162,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327114,,SRR3209163,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327113,,SRR3209164,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327113,,SRR3209625,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327112,,SRR3209165,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327111,,SRR3209166,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327109,,SRR3209167,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327108,,SRR3209168,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327121,,SRR3209169,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327120,,SRR3209171,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327119,,SRR3209172,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327118,,SRR3209173,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327117,,SRR3209174,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327116,,SRR3209175,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327115,,SRR3209176,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327115,,SRR3209626,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327127,,SRR3209177,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1326429,,SRR3209178,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327125,,SRR3209179,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327124,,SRR3209180,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327123,,SRR3209183,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327122,,SRR3209184,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327134,,SRR3209185,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327133,,SRR3209186,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327132,,SRR3209187,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327130,,SRR3209188,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327129,,SRR3209189,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327129,,SRR3209627,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327128,,SRR3209190,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327139,,SRR3209191,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327138,,SRR3209193,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327137,,SRR3209194,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327136,,SRR3209195,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327135,,SRR3209196,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327146,,SRR3209198,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327144,,SRR3209199,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327143,,SRR3209200,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327142,,SRR3209201,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327142,,SRR3209629,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327141,,SRR3209202,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327147,,SRR3209197,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327140,,SRR3209204,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327153,,SRR3209205,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327152,,SRR3209206,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327151,,SRR3209207,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327150,,SRR3209209,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327149,,SRR3209210,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327159,,SRR3209211,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327158,,SRR3209212,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327157,,SRR3209213,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327157,,SRR3209630,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327156,,SRR3209215,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327155,,SRR3209216,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327154,,SRR3209217,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327166,,SRR3209218,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327165,,SRR3209219,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327164,,SRR3209220,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327163,,SRR3209221,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327161,,SRR3209222,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327160,,SRR3209223,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327171,,SRR3209224,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327170,,SRR3209226,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327170,,SRR3209631,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327169,,SRR3209227,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327168,,SRR3209228,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS1327167,,SRR3209229,amplicon
